SKU,Brand,Product Name,Price,Package Size,Price per unit,Specials,Tag Description,Online Only,Availability,New Product,Ratings,Department,Product URL,Date
854105,sancho garces,Sancho Garces Garces,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/854105/sancho-garces-garces,2021-04-23
341986,pendelton,Pendelton Blood Orange Agrumato Citrus Press Olive Oil,,250ml,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/341986/pendelton-blood-orange-agrumato-citrus-press-olive-oil,2021-04-23
162745,home handyman,Home Handyman Tools Tape Measure 5m,,each,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/162745/home-handyman-tools-tape-measure-5m,2021-04-23
99040,mint,Mint Glazed Antipasto Dish Blue,2.0,each,,,,,Available,,0,[],https://www.woolworths.com.au/shop/productdetails/99040/mint-glazed-antipasto-dish-blue,2021-04-23
21958,l'oreal,L'oreal Infallible Liquide Foundation 220 Sand,,30ml,,,,,Unavailable,,0,['Health & Beauty'],https://www.woolworths.com.au/shop/productdetails/21958/l-oreal-infallible-liquide-foundation-220-sand,2021-04-23
673639,hellenic,Hellenic Biscuits Vanilla,,500g,,,,,Unavailable,,0,['Bakery'],https://www.woolworths.com.au/shop/productdetails/673639/hellenic-biscuits-vanilla,2021-04-23
21433,mesta,Mesta Garnacha,17.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/21433/mesta-garnacha,2021-04-23
759176,louis latour,Louis Latour Montagny 1er Cru,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/759176/louis-latour-montagny-1er-cru,2021-04-23
622365,sovereign hill,Sovereign Hill Salted Caramel Drops,,185g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/622365/sovereign-hill-salted-caramel-drops,2021-04-23
807807,maybelline,Maybelline Fit Me Concealer Caramel,,6.8ml,,,,,Unavailable,,0,['Health & Beauty'],https://www.woolworths.com.au/shop/productdetails/807807/maybelline-fit-me-concealer-caramel,2021-04-23
741486,boston brewing co.,Boston Brewing Co. Brown Ale Can,,375ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/741486/boston-brewing-co-brown-ale-can,2021-04-23
381916,chapel hill,Chapel Hill Bush Vine Grenache,31.0,750ml,,Specials,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/381916/chapel-hill-bush-vine-grenache,2021-04-23
617042,settlers,Settlers Breakfast Gin,,700ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/617042/settlers-breakfast-gin,2021-04-23
245542,chef craft,Chef Craft Utensil Stainless Steel Tongs 23cm,,2 pack,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/245542/chef-craft-utensil-stainless-steel-tongs-23cm,2021-04-23
612577,v energy,V Energy Drink Original Green,,10x200ml,,,,,Unavailable,,0,['Drinks'],https://www.woolworths.com.au/shop/productdetails/612577/v-energy-drink-original-green,2021-04-23
28572,sniders,Sniders Matzo Meal Course,,375g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/28572/sniders-matzo-meal-course,2021-04-23
249518,spencers,Spencers Sumac Sachet,,45g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/249518/spencers-sumac-sachet,2021-04-23
808305,seedlip,Seedlip Grove 42 Alcohol Free,50.0,700ml,$71.43 / 1L,,,,Available,,0,"['Liquor', 'Drinks']",https://www.woolworths.com.au/shop/productdetails/808305/seedlip-grove-42-alcohol-free,2021-04-23
101039,good & green,Good & Green Plant Based Deli Slices With Black Pepper,,80g,,,,,Unavailable,,0,"['Dairy, Eggs & Fridge']",https://www.woolworths.com.au/shop/productdetails/101039/good-green-plant-based-deli-slices-with-black-pepper,2021-04-23
637746,ocean spray,Ocean Spray Craisins Milk Chocolate,,85g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/637746/ocean-spray-craisins-milk-chocolate,2021-04-23
419437,limeburners,Limeburners Infinity Solera Cask Single Malt Whisky,146.0,700ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/419437/limeburners-infinity-solera-cask-single-malt-whisky,2021-04-23
97626,veuve alary,Veuve Alary Gold Sparkling,24.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/97626/veuve-alary-gold-sparkling,2021-04-23
26262,kohoe's,Kohoe's Organic Basil Cashew Cheese,,250g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/26262/kohoe-s-organic-basil-cashew-cheese,2021-04-23
670606,kedem,Kedem Sparkling Apple Cider,,750ml,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/670606/kedem-sparkling-apple-cider,2021-04-23
827388,butlers,Butlers Mixed Berry Chocolates,,170g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/827388/butlers-mixed-berry-chocolates,2021-04-23
476938,maybelline,Maybelline Eyeshadow Palette Blushed Nudes 457,,each,,,,,Unavailable,,0,['Health & Beauty'],https://www.woolworths.com.au/shop/productdetails/476938/maybelline-eyeshadow-palette-blushed-nudes-457,2021-04-23
232374,alpine,Alpine Natural Sourdough Spelt & Sprouted Grains Bread,,680g,,,,,Unavailable,,0,['Bakery'],https://www.woolworths.com.au/shop/productdetails/232374/alpine-natural-sourdough-spelt-sprouted-grains-bread,2021-04-23
803146,the bagel co.,The Bagel Co. Plain Bagels,6.0,5 pack,$1.20 / 1EA,,,,Available,,0,['Bakery'],https://www.woolworths.com.au/shop/productdetails/803146/the-bagel-co-plain-bagels,2021-04-23
750536,serafino,Serafino Sharktooth Shiraz,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/750536/serafino-sharktooth-shiraz,2021-04-23
660009,empire,Empire Apple Cider Bottles,,4x330ml pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/660009/empire-apple-cider-bottles,2021-04-23
651980,papermate,Papermate Inkjoy Liquid Roller Ball Point Pen Blue,3.5,each,,,,,Available,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/651980/papermate-inkjoy-liquid-roller-ball-point-pen-blue,2021-04-23
789471,taste of asia,Taste Of Asia Mirin,,500ml,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/789471/taste-of-asia-mirin,2021-04-23
906319,happs,Happs Cabernet Merlot,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/906319/happs-cabernet-merlot,2021-04-23
85516,wild turkey,Wild Turkey Master's Keep Cornerstone Rye Whiskey,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/85516/wild-turkey-master-s-keep-cornerstone-rye-whiskey,2021-04-23
806328,penfolds,Penfolds Bin 389 Cabernet Shiraz 2016,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/806328/penfolds-bin-389-cabernet-shiraz-2016,2021-04-23
101764,b.box,B.box Bowl & Straw  - Lemon Sherbet,15.0,each,$15.00 / 1EA,,,,Available,,0,[],https://www.woolworths.com.au/shop/productdetails/101764/b-box-bowl-straw-lemon-sherbet,2021-04-23
571957,eskal,Eskal Orange Cremes Gift Box,,150g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/571957/eskal-orange-cremes-gift-box,2021-04-23
101831,b.box,B.box Insulated Drink Bottle - Passion Splash,30.0,each,$30.00 / 1EA,,,,Available,,0,[],https://www.woolworths.com.au/shop/productdetails/101831/b-box-insulated-drink-bottle-passion-splash,2021-04-23
101781,b.box,B.box Tritan Drink Bottle  - Strawberry Shake,20.0,each,$20.00 / 1EA,,,,Available,,0,[],https://www.woolworths.com.au/shop/productdetails/101781/b-box-tritan-drink-bottle-strawberry-shake,2021-04-23
976002,matso's,Matso's Ginger Beer Cans,,4x330ml pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/976002/matso-s-ginger-beer-cans,2021-04-23
247379,libra,Libra Panty Liners Thin & Long,,39 pack,,,,,Unavailable,,0,['Health & Beauty'],https://www.woolworths.com.au/shop/productdetails/247379/libra-panty-liners-thin-long,2021-04-23
99969,fifya,Fifya Dipping Sauce North African Spices,,160g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/99969/fifya-dipping-sauce-north-african-spices,2021-04-23
994711,panhead,Panhead Supercharger Apa Cans,,355ml x6 pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/994711/panhead-supercharger-apa-cans,2021-04-23
11035,brokenwood,Brokenwood Cabernet Merlot Sauvignon,33.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/11035/brokenwood-cabernet-merlot-sauvignon,2021-04-23
128782,jose gourmet,Jose Gourmet Spiced Calamari In Ragout Sauce,,120g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/128782/jose-gourmet-spiced-calamari-in-ragout-sauce,2021-04-23
905662,petaluma,Petaluma Shiraz,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/905662/petaluma-shiraz,2021-04-23
659890,hansen,Hansen Tasmania Apple Cider Bottle,6.2,330ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/659890/hansen-tasmania-apple-cider-bottle,2021-04-23
787770,prairie,Prairie Organic Vodka,62.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/787770/prairie-organic-vodka,2021-04-23
826346,tommee tippee,Tommee Tippee 2x Milk Feeding Bib,,2 pack,,,,,Unavailable,,0,['Baby'],https://www.woolworths.com.au/shop/productdetails/826346/tommee-tippee-2x-milk-feeding-bib,2021-04-23
86930,jansz,Jansz Brut Vintage Cuvee,45.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/86930/jansz-brut-vintage-cuvee,2021-04-23
133129,,Forge Creek 12 Extra Large Free Range Eggs,,700g,,,,,Unavailable,,0,"['Dairy, Eggs & Fridge']",https://www.woolworths.com.au/shop/productdetails/133129/forge-creek-12-extra-large-free-range-eggs,2021-04-23
905536,torbreck,Torbreck Grenache & Gsm Cuvèe Juveniles Gsm,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/905536/torbreck-grenache-gsm-cuv-e-juveniles-gsm,2021-04-23
912028,mythos,Mythos Hellenic Lager Bottle,,6x330ml pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/912028/mythos-hellenic-lager-bottle,2021-04-23
908088,paracombe,Paracombe Adelaide Hills Pinot Grigio Pinot Gris,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/908088/paracombe-adelaide-hills-pinot-grigio-pinot-gris,2021-04-23
473422,golden days,Golden Days Paleo Bar Peppermint Crunch,,40g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/473422/golden-days-paleo-bar-peppermint-crunch,2021-04-23
129584,tar10,Tar10 Harvey's Smokey Bbq Sauce,,250ml,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/129584/tar10-harvey-s-smokey-bbq-sauce,2021-04-23
482998,lentini,Lentini Sparkling Spring Water,,750ml,,,,,Unavailable,,0,['Drinks'],https://www.woolworths.com.au/shop/productdetails/482998/lentini-sparkling-spring-water,2021-04-23
990502,beach beer,Beach Beer Bondi Extra Pale Ale Cans,,375ml x6 pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/990502/beach-beer-bondi-extra-pale-ale-cans,2021-04-23
383121,buffalo trace,Buffalo Trace Bourbon,,700ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/383121/buffalo-trace-bourbon,2021-04-23
983615,sample brew,Sample Brew 3/4 Indian Pale Ale Cans,,375ml x4 pack,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/983615/sample-brew-3-4-indian-pale-ale-cans,2021-04-23
916498,tar & roses,Tar & Roses Shiraz,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/916498/tar-roses-shiraz,2021-04-23
662093,penfolds,Penfolds Bin 95 Grange Shiraz 2013,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/662093/penfolds-bin-95-grange-shiraz-2013,2021-04-23
26244,kehoe's,Kehoe's Organic Beetroot Cashew Cheese,,250g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/26244/kehoe-s-organic-beetroot-cashew-cheese,2021-04-23
3812,home handyman,Home Handyman Tools Long Nose Pliers,,each,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/3812/home-handyman-tools-long-nose-pliers,2021-04-23
673394,hogs in the woods,Hogs In The Woods The Woods Grenache,18.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/673394/hogs-in-the-woods-the-woods-grenache,2021-04-23
771474,woolworths,Woolworths Select Shine Dishwashing Liquid Lime,,450ml,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/771474/woolworths-select-shine-dishwashing-liquid-lime,2021-04-23
647273,nikka taketsuru,Nikka Taketsuru Pure Malt Whisky,135.0,700ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/647273/nikka-taketsuru-pure-malt-whisky,2021-04-23
129651,unami pantry,Unami Pantry Cheez Shaker,,160g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/129651/unami-pantry-cheez-shaker,2021-04-23
125575,duck,Duck Under The Rim Liquid Toilet Cleaner Lavender,,50ml,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/125575/duck-under-the-rim-liquid-toilet-cleaner-lavender,2021-04-23
290036,frank coopers,Frank Coopers Marmalade Vintage,,454g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/290036/frank-coopers-marmalade-vintage,2021-04-23
907223,sierra,Sierra Gold Tequila,,40ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/907223/sierra-gold-tequila,2021-04-23
138397,mia's,Mia's Giant Wholemeal Bread Sliced,,700g,,,,,Unavailable,,0,['Bakery'],https://www.woolworths.com.au/shop/productdetails/138397/mia-s-giant-wholemeal-bread-sliced,2021-04-23
722127,abe's bagel bakery,Abe's Bagel Bakery Cinnamon & Raisin Bagels,,360g 4pk,,,,,Unavailable,,0,['Bakery'],https://www.woolworths.com.au/shop/productdetails/722127/abe-s-bagel-bakery-cinnamon-raisin-bagels,2021-04-23
495316,papyrus,Papyrus Happy Birthday To You,12.99,each,,,,,Available,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/495316/papyrus-happy-birthday-to-you,2021-04-23
70843,b.box,B.box Snack Pack Aqualicious,15.0,each,$15.00 / 1EA,,,,Available,,0,[],https://www.woolworths.com.au/shop/productdetails/70843/b-box-snack-pack-aqualicious,2021-04-23
63953,boundary road,Boundary Road White Loaf,,750g,,,,,Unavailable,,0,['Bakery'],https://www.woolworths.com.au/shop/productdetails/63953/boundary-road-white-loaf,2021-04-23
904767,dominique portet,Dominique Portet Shiraz,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/904767/dominique-portet-shiraz,2021-04-23
528837,the backyard picklery,The Backyard Picklery Dill Pickle,,380g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/528837/the-backyard-picklery-dill-pickle,2021-04-23
820591,never never,Never Never Fancy Fruit Cup,,500ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/820591/never-never-fancy-fruit-cup,2021-04-23
526195,the backyard picklery,The Backyard Picklery Bread & Butter Pickle,,365g,,,,,Unavailable,,0,"['Meat, Seafood & Deli']",https://www.woolworths.com.au/shop/productdetails/526195/the-backyard-picklery-bread-butter-pickle,2021-04-23
730166,murphy-goode,Murphy-goode Liars Dice Zinfandel,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/730166/murphy-goode-liars-dice-zinfandel,2021-04-23
331057,teusner,Teusner Righteous Fg Shiraz Fg Shiraz,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/331057/teusner-righteous-fg-shiraz-fg-shiraz,2021-04-23
917398,mount majura,Mount Majura Shiraz,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/917398/mount-majura-shiraz,2021-04-23
353825,white rabbit,White Rabbit White Ale Bottles,,24x330ml case,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/353825/white-rabbit-white-ale-bottles,2021-04-23
101829,b.box,B.box Insulated Drink Bottle - Ocean Breeze,30.0,each,$30.00 / 1EA,,,,Available,,0,[],https://www.woolworths.com.au/shop/productdetails/101829/b-box-insulated-drink-bottle-ocean-breeze,2021-04-23
332034,woodlands,Woodlands Chardonnay,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/332034/woodlands-chardonnay,2021-04-23
627150,dove,Dove Body Wash Nourishing Care & Oil,,375ml,,,,,Unavailable,,0,['Health & Beauty'],https://www.woolworths.com.au/shop/productdetails/627150/dove-body-wash-nourishing-care-oil,2021-04-23
883239,method,Method Wood For Good Daily Clean Spray,,828ml,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/883239/method-wood-for-good-daily-clean-spray,2021-04-23
952086,gourmet bombay,Gourmet Bombay Cinnamon Sticks Round,,100g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/952086/gourmet-bombay-cinnamon-sticks-round,2021-04-23
858247,millions,Millions Bubble Gum Shakers,,90g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/858247/millions-bubble-gum-shakers,2021-04-23
373121,gilberts,Gilberts 3 Lads Cabernet Sauvignon,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/373121/gilberts-3-lads-cabernet-sauvignon,2021-04-23
768532,redheads,Redheads Bbq Accessory Dual Flame Gasmatch,,each,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/768532/redheads-bbq-accessory-dual-flame-gasmatch,2021-04-23
370848,russell's reserve,Russell's Reserve 10 Year Old Bourbon,73.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/370848/russell-s-reserve-10-year-old-bourbon,2021-04-23
913921,s.c. pannell,S.c. Pannell The Vale Shiraz Grenache,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/913921/s-c-pannell-the-vale-shiraz-grenache,2021-04-23
47365,home handyman,Home Handyman Foam Tape Double Sided,,12mmx2m,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/47365/home-handyman-foam-tape-double-sided,2021-04-23
138394,mia's,Mia's Giant White Toast Bread,,700g,,,,,Unavailable,,0,"['Lunch Box', 'Bakery']",https://www.woolworths.com.au/shop/productdetails/138394/mia-s-giant-white-toast-bread,2021-04-23
753056,lucky,Lucky Natural Pistachios,,85g,,,,,Unavailable,,0,['Pantry'],https://www.woolworths.com.au/shop/productdetails/753056/lucky-natural-pistachios,2021-04-23
381734,cirillo,Cirillo The Vincent Grenache,27.0,750ml,,,,,Available,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/381734/cirillo-the-vincent-grenache,2021-04-23
128446,pendelton,Pendelton Pear Balsamic Vinegar,,250ml,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/128446/pendelton-pear-balsamic-vinegar,2021-04-23
971397,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,Tobacco Product,https://www.woolworths.com.au/shop/productdetails/971397/winfield-optimum-blue-singles,2021-04-23
88552,passing clouds,Passing Clouds Chardonnay,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/88552/passing-clouds-chardonnay,2021-04-23
375281,essentials,Essentials Corkscrew Waiter's Friend,,each,,,,,Unavailable,,0,['Household'],https://www.woolworths.com.au/shop/productdetails/375281/essentials-corkscrew-waiter-s-friend,2021-04-23
663988,temple bruer,Temple Bruer Chardonnay Preservative Free,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/663988/temple-bruer-chardonnay-preservative-free,2021-04-23
793218,gentile,Gentile Penne,,500g,,,,,Unavailable,,0,[],https://www.woolworths.com.au/shop/productdetails/793218/gentile-penne,2021-04-23
49365,houghton,Houghton Late Picked Sweet White Verdelho,,750ml,,,,,Unavailable,,0,['Liquor'],https://www.woolworths.com.au/shop/productdetails/49365/houghton-late-picked-sweet-white-verdelho,2021-04-23
