SKU,Brand,Product Name,Current Price,Price per unit,Unit Size,Previous Price,On Special,Suppliers,Category,Availability,URL,Date
3980255P,Head & Shoulders,Conditioner Smooth & Silky,17.0,$2.58 per 100mL,660mL,,,['422720 PROCTER & GAMBLE AUST P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/smoth-silky,2021-04-23
3838775P,Coles,Jujube Prepack,9.9,$24.75 per 1Kg,400g,,,"['97446 CARTER & SPENCER GROUP P/L', '939301 FRESH PRODUCE DC (WA)', '939312 FRESH PRODUCE DC (NSW)', '942633 CARTER & SPENCER NORTH QLD', ""635235 COSTA'S P/L (VIC DC)"", '414760 ST GEORGE PROD PTY LTD', '933347 COSTAS (TASMANIA)']",fruit-vegetables,Available,https://shop.coles.com.au/a/national/product/fresh-jujube-prepack,2021-04-23
3760496P,The Spice Tailor,Malabar Biryani,5.5,$1.53 per 100G,360g,,,['968192 THE SPICE TAILOR (AUST) P/L'],international-foods,Available,https://shop.coles.com.au/a/national/product/the-spice-tailor-malabar-biriyani,2021-04-23
6046740P,Fantastic,Crispy Bacon Noodle Cup,1.6,$2.29 per 100G,70g,,,['68021 SAN REMO MACARONI CO P/L ACCT 1'],pantry,Available,https://shop.coles.com.au/a/national/product/fantastic-noodle-cup-crispy-bacon,2021-04-23
403765P,McCain,Frozen Ham & Pineapple Family Pizza,5.5,$1.10 per 100G,500g,7.0,Specials,['32557 MCCAIN FOO'],frozen,Available,https://shop.coles.com.au/a/national/product/mccain-pizza-family-ham-pineapple-frozen,2021-04-23
3274024P,Perfect Italiano,Grated Cheese Perfect Bakes,4.25,$17.00 per 1Kg,250g,4.8,Specials,['322385 FONTERRA BRANDS (AUST) P/L'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/perfect-italiano-grated-cheese-perfect-bakes,2021-04-23
3820940P,Nivea,Sun Protect & Moisture SPF 50+,30.0,$3.00 per 100mL,1L,,,['936507 BEIERSDORF AUST LTD'],health-beauty,Available,https://shop.coles.com.au/a/national/product/nivea-sun-protect-moisture-spf50-,2021-04-23
2372640P,Sistema,To Go Mini Bites,6.0,$2.00 per 1Ea,3 pack,,,['731501 SISTEMA PLASTICS AUST LTD'],household,Available,https://shop.coles.com.au/a/national/product/sistema-mini-bites-containers-3-pack,2021-04-23
9091377P,Peters,Drumstick Caramel Swirl Ice Cream Cones 4 pack,5.0,$1.05 per 100mL,475mL,8.4,Specials,"['643751 NESTLE PETERS ICE CREAM', '968585 PETERS ICE CREAM']",entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/nestle-peters-drumstick-ice-cream-caramel-475ml,2021-04-23
9622101P,Tena,Level 2 Incontinence Pouches For Men,8.0,$0.80 per 1Ea,10 pack,9.4,Specials,"['4545 THE SORBENT PAPER CO', '976023 ASALEO PERSONAL CARE']",health-beauty,Available,https://shop.coles.com.au/a/national/product/tena-for-men-incontinence-pouches-level-2,2021-04-23
5060666P,Twinings,Chai & Vanilla Tea Bags 10 pack,2.9,$0.29 per 1Ea,20g,,Specials,['941157 AB FOOD &'],pantry,Available,https://shop.coles.com.au/a/national/product/twinings-origins-tea-bags-chai-vanilla,2021-04-23
3116238P,Cook & Dine,Speed Peeler,2.0,$2.00 per 1Ea,1 each,,,"['970149 Globaleyes Distribution (COLESBR', '975760 GLOBALEYES DISTRIBUTION PTY LTD', '945707 GLOBALEYES DISTRIBUTION P/L (XDO']",household,Available,https://shop.coles.com.au/a/national/product/cook-dine-speed-peeler-,2021-04-23
3715083P,Coles,Chicken Pho With Noodles Soup Serves 2,1.0,$1.67 per 100G,60g,,,['972707 MANSFIELDS PTY LTD'],pantry,Available,https://shop.coles.com.au/a/national/product/coles-2-serve-soup-chicken-pho-w-nodles,2021-04-23
9153780P,Bepanthen,Antiseptic Soothing Cream,12.0,$12.00 per 100G,100g,,,"['636312 ROCHE PRODUCTS P/L', '3778 BAYER AUSTRALIA LTD', '943994 BAYER AUST LTD']",health-beauty,Available,https://shop.coles.com.au/a/national/product/bepanthen-antiseptic-cream,2021-04-23
5018070P,Big M,Original Chocolate Flavoured Milk,4.3,$2.15 per 1L,2L,,,"['933187 NATIONAL FOODS MILK (QLD)', '367702 CAPITOL CHILLED FOODS (AUST) P/L', '966403 LD&D AUSTRALIA PTY LTD (DSD)', '37079 LACTALIS AUSTRALIA P/L', '6084 BETTA MILK CO-OP SOC LTD', '91022 WARRNAMBOOL CHEESE & BUTTER FACT', '656186 COLES SUPERMARKETS (EXP)', '934369 NATIONAL FOODS MILK LTD NSW', '665282 LD & D AUST P/L']",drinks,Available,https://shop.coles.com.au/a/national/product/big-m-milk-flavoured-chocolate,2021-04-23
3746961P,Tooshies By Tom,Organic Bamboo Nappies Size 2 Infant,20.0,$0.42 per 1Ea,48 Pack,,,"['967792 TOM ORGANIC', '976023 ASALEO PERSONAL CARE']",baby,Available,https://shop.coles.com.au/a/national/product/toshies-organic-bambo-nappies-size-2-infant,2021-04-23
6086596P,Nivea,Soft Cream Lotion Moisturiser  + Jojoba Oil & Vitamin E,10.0,$5.00 per 100mL,200mL,,,['936507 BEIERSDORF AUST LTD'],health-beauty,Available,https://shop.coles.com.au/a/national/product/nivea-soft-intensive-moisturising-creme,2021-04-23
9511370P,Stain Go,Stain Remover,9.0,$45.00 per 1L,200mL,,,['940330 FONTAINEBLEAU HOLDINGS P/L'],household,Available,https://shop.coles.com.au/a/national/product/stain-go-stain-remover,2021-04-23
9486411P,Bulla,Creamy Classics Cookies & Cream Ice Cream Tub,8.5,$0.43 per 100mL,2L,,,['39063 BULLA DAIRY FOODS'],entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/bulla-creamy-classics-ice-cream-cookies-cream,2021-04-23
4219291P,Coles,Kitchen Chicken & Mushroom Pie,13.5,$1.93 per 100G,700g,,,"['953111 PATTIES FOODS PRIVATE LABEL', '953597 PATTIES FOODS LTD PRIVATE LABEL']",dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/pie-chicken-mushrom,2021-04-23
8571887P,L'Oreal,Paris Intense Nutrition Day Cream,24.5,$49.00 per 100mL,50mL,35.0,Specials,"[""720488 L'OREAL AUST P/L""]",health-beauty,Available,https://shop.coles.com.au/a/national/product/loreal-age-perfect-cream-intense-nutr-day,2021-04-23
3411001P,Air Wick,Pure Cherry Blossom Fragrance Infused With Essential Oil 19mL,10.0,$5.00 per 1Ea,2 pack,,,"['975782 RB (HYGIENE HOME) AUSTRALIA PTY', '672882 RECKITT BENCKISER (AUST) P/L']",household,Available,https://shop.coles.com.au/a/national/product/air-wick-pure-le-twin-refill-cherry-blossom,2021-04-23
3763348P,Table Of Plenty,Single Rice Cakes Milk Chocolate,1.95,$6.50 per 100G,30g,,Specials,['974829 TABLE OF PLENTY'],pantry,Available,https://shop.coles.com.au/a/national/product/table-of-plenty-single-rice-cakes-milk-chocolate,2021-04-23
3723401P,Pantene,Smooth & Sleek Conditioner,8.0,$2.13 per 100mL,375mL,,,['422720 PROCTER & GAMBLE AUST P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/pantene-smoth-slek-conditioner,2021-04-23
3049764P,Mount Franklin,Pure Spring Water 500mL,4.3,$1.43 per 1L,6 pack,5.65,Specials,"['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']",drinks,Available,https://shop.coles.com.au/a/national/product/mount-franklin-water-6x500-ml,2021-04-23
2001784P,Sanitarium,Weet-Bix Breakfast Cereal,3.8,$0.66 per 100G,575g,,,['129712 SANITARIUM HEALTH & WELLBEING CO'],pantry,Available,https://shop.coles.com.au/a/national/product/sanitarium-weet-bix-2001784p,2021-04-23
3453330P,Coles Finest,Tasmanian Goats Cheese,9.7,$3.23 per 100G,300g,,,['975514 SAVOUR AND GRACE (COLESBRAND)'],from-deli,Available,https://shop.coles.com.au/a/national/product/coles-finest-marinated-goats-fetta,2021-04-23
1723138P,KanTong,Honey Teriyaki Chicken Cooking Sauce,3.3,$0.65 per 100G,510g,,Specials,['30791 MARS AUST GROCERY ACCOUNT'],pantry,Available,https://shop.coles.com.au/a/national/product/kantong-honey-teriyaki-stir-fry-sauce,2021-04-23
2482081P,Coles,Frozen Vegetable Samosas 10 Pack,5.0,$1.67 per 100G,300g,,,['963248 AUSTRALIAN INTL FOODS P/L (HOUSE'],entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/coles-vegetable-samosas-10-pack,2021-04-23
8667636P,Wellness Road,Australian Polenta,2.8,$0.56 per 100G,500g,,,"['653861 KADAC P/L', '965259 KADAC P/L (HOUSEBRAND)', '968925 ANNEX FOODS PTY LTD']",pantry,Available,https://shop.coles.com.au/a/national/product/coles-polenta-gluten-free,2021-04-23
1069160P,Coles,Celery Sticks Prepacked,4.5,$15.00 per 1Kg,300g,,,"[""635235 COSTA'S P/L (VIC DC)"", '942633 CARTER & SPENCER NORTH QLD', '939301 FRESH PRODUCE DC (WA)', '414760 ST GEORGE PROD PTY LTD', '97446 CARTER & SPENCER GROUP P/L', '933347 COSTAS (TASMANIA)', '939312 FRESH PRODUCE DC (NSW)']",entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/celery-pieces-prepacked,2021-04-23
290465P,Continental,Cup A Soup Roast Chicken Hearty Soup Serves 2,2.1,$2.80 per 100G,75g,,,['421901 UNILEVER A/ASIA FOODS'],pantry,Available,https://shop.coles.com.au/a/national/product/continental-cup-a-soup-hearty-roast-chicken,2021-04-23
3310183P,Danone,The Ultimate Black Cherry Yoghurt 4x115g,4.5,$0.98 per 100G,4 pack,,,['964090 DANONE MURRAY GOULBURN AUST P/L'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/danone-ultimate-greek-yoghurt-4pk-black-cherry,2021-04-23
3810448P,Scholl,Gel Activ Work Women,28.0,,1 EACH,,,['RECKITT BENCKISER (AUST) P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/scholl-gel-activ-work-women,2021-04-23
3234664P,Coles,2 Basmati Rice Cup,2.0,$0.80 per 100G,250g,,,"['AIR GUITAR AUSTRALIA', '964590 AUSTRALIA INTERNATIONAL P/L (HOU', '951699 AIR GUITAR AUSTRALIA']",pantry,Available,https://shop.coles.com.au/a/national/product/coles-microwave-rice-basmati-cup,2021-04-23
4203939P,Epzen,Magnesium Bath Crystals Soothe,12.95,$1.44 per 100G,900g,,,"['943654 VITALITY BRANDS WORLDWIDE PTY LI', '943655 RSM PROPERTIES P/L']",health-beauty,Available,https://shop.coles.com.au/a/national/product/bath-crystals-sothe,2021-04-23
3157585P,Dove,Restoring Ritual Conditioner Coconut Oil & Turmeric,11.9,$1.86 per 100mL,640mL,,,['26867 UNILEVER A/ASIA HOME &PERSONAL C'],health-beauty,Available,https://shop.coles.com.au/a/national/product/dove-conditioner-ritual-coconut-oil-tumeric,2021-04-23
9580704P,Black Swan,French Onion Dip,3.5,$1.75 per 100G,200g,,Specials,"['970642 BLACK SWAN FOODS', '65269 POSEIDON TARAMA P/L (RECEIVERS &']",entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/black-swan-dip-french-onion,2021-04-23
2258419P,Coles,Chicken & Corn Soup Pouch,2.7,$0.63 per 100mL,430g,,,['943580 FLAVOUR MAKERS P/L (H/BRAND)'],pantry,Available,https://shop.coles.com.au/a/national/product/coles-chicken-corn-soup-pouch,2021-04-23
5118110P,Moro,Delicado Light Taste Olive Oil,12.0,$1.20 per 100mL,1L,16.0,Specials,['8508 CONGA FOOD'],pantry,Available,https://shop.coles.com.au/a/national/product/moro-extra-light-olive-oil-5118110p,2021-04-23
3048127P,Coles,Trio Of Olives & Roasted Capsicum Dip,2.85,$1.90 per 100G,150g,3.5,Specials,['969920 Yumis Quality Foods (HOUSEBRAND)'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/coles-trio-olive-capsicum,2021-04-23
3652686P,Oppenheimer,Tinny Taffy 50 Pack,17.0,$2.96 per 100G,575g,,,['973087 BENEDIKT IMPORTS CROSS DOCK'],international-foods,Available,https://shop.coles.com.au/a/national/product/oppenheimer-tinny-taffy-50-pack,2021-04-23
3210000P,Lo Bros,Organic Kombucha Raspberry Lemon Drink Chilled,5.0,$6.67 per 1L,750mL,7.0,Specials,['971667 SOULFRESH GROUP PTY LTD'],drinks,Available,https://shop.coles.com.au/a/national/product/lo-bros-organic-kombucha-raspberry-lemon,2021-04-23
3710658P,Sunsilk,Conditioner Summer Care,10.0,$1.43 per 100mL,700mL,,,['26867 UNILEVER A/ASIA HOME &PERSONAL C'],health-beauty,Available,https://shop.coles.com.au/a/national/product/sunsilk-conditioner-summer-care,2021-04-23
2937771P,Purina,"Total Care Heartwormer, Allwormer & Flea Control  for Small Dogs",22.0,$22.00 per 1Ea,1 pack,,,['953231 NESTLE PURINA PETCARE'],pet,Available,https://shop.coles.com.au/a/national/product/total-care-heatwormer-allwormer-flea-control-treatment-small-dogs,2021-04-23
3479016P,Tommee Tippee,Easiflow 360 Lip Activated Cup 200mL 6 Months +,9.6,$9.60 per 1Ea,1 pack,12.0,Specials,['967498 MAYBORN BABY AND CHILD (X-DOCK)'],baby,Available,https://shop.coles.com.au/a/national/product/tommee-tippee-trainer-360-cup-200ml,2021-04-23
5928369P,Coles,Baby Capers,1.9,$17.27 per 1Kg,110g,2.0,Specials,"['954080 SANDHURST FINE FOODS (PRIVATE LA', '962302 NERI IND ALIMENTARE SRL', '675334 SANDHURST FINE FOODS CO']",pantry,Available,https://shop.coles.com.au/a/national/product/coles-capers-baby,2021-04-23
3733948P,Coles,Gluten Free White Rolls 2 pack,3.0,$2.14 per 100G,140g,,,['968071 LIFESTYLE BAKERY (HOUSEBRAND)'],bakery,Available,https://shop.coles.com.au/a/national/product/coles-gluten-fre-white-rolls-2pk,2021-04-23
2737626P,Plumrose,Canned Spiced Ham,4.95,$14.56 per 1Kg,340g,5.0,Specials,['956724 ZWANENBERG AUSTRALIA P/L'],pantry,Available,https://shop.coles.com.au/a/national/product/plumrose-canned-spiced-ham,2021-04-23
5863445P,Peters,Drumstick Minis Classic Vanilla Ice Cream Cones 6 pack,5.0,$1.02 per 100mL,490mL,8.4,Specials,"['643751 NESTLE PETERS ICE CREAM', '968585 PETERS ICE CREAM']",frozen,Available,https://shop.coles.com.au/a/national/product/nestle-peters-drumstick-ice-cream-vanilla-minis-6-pack,2021-04-23
3616321P,Coles,Urban Coffee Culture Intensity 7 Whole Roast Beans Medium,12.0,$12.00 per 1Kg,1kg,,,['975850 SUNTORY COFFEE AUSTRALIA (COLESB'],drinks,Available,https://shop.coles.com.au/a/national/product/coles-urban-coffee-culture-med-roast-beans-3616321p,2021-04-23
3293470P,Genius,Gluten Free Farmhouse Triple Seeded Bread Loaf,6.0,$1.12 per 100G,535g,,,"['656186 COLES SUPERMARKETS (EXP)', '974634 GENIUS AUSTRALIA PTY TD']",bakery,Available,https://shop.coles.com.au/a/national/product/genius-triple-seeded-sandwich-loaf-3293470p,2021-04-23
9670873P,Naturopathica,Horny Goat Weed for Him,40.0,$0.80 per 1Ea,50 pack,,,"['936917 NATUROPATHICA', '479551 PHARM-A-CARE LABORATORIES P/L']",health-beauty,Available,https://shop.coles.com.au/a/national/product/naturopathica-tablets-horny-goat-weed-for-him,2021-04-23
3772473P,Only Organic,Banana Mixed Berry Coconut Chia,2.8,$2.80 per 100G,100g,,,['945125 ONLY ORGANIC 2003 P/L'],baby,Available,https://shop.coles.com.au/a/national/product/only-organic-banana-mixed-berry-coconut-chia,2021-04-23
5111654P,Coles,Pink Lady Apples Loose,0.7,$3.50 per 1Kg,approx. 200g,,,"['414760 ST GEORGE PROD PTY LTD', '939301 FRESH PRODUCE DC (WA)', '942633 CARTER & SPENCER NORTH QLD', ""635235 COSTA'S P/L (VIC DC)"", '97446 CARTER & SPENCER GROUP P/L', '939312 FRESH PRODUCE DC (NSW)', '933347 COSTAS (TASMANIA)']",fruit-vegetables,Available,https://shop.coles.com.au/a/national/product/apples-pink-lady-loose,2021-04-23
3018807P,Rafferty's Garden,4M+ My First Apple,1.5,$1.25 per 100G,120g,1.65,Specials,"[""970237 RAFFERTY'S GARDEN AUST""]",baby,Available,https://shop.coles.com.au/a/national/product/raffertys-garden-4m-my-first-apple,2021-04-23
3256918P,Coles,Ultra Sunscreen SPF 50+,5.0,$2.50 per 100mL,200mL,,,"['972002 BAXTER LABORATORIES PTY LTD', '975072 BAXTER LABORATORIES']",health-beauty,Available,https://shop.coles.com.au/a/national/product/coles-sunscreen-ultra-spf50,2021-04-23
2623795P,Beechworth,Bee Raw Honey & Honeycomb,12.0,$3.43 per 100G,350g,,,['930546 BEECHWORTH HONEY P/L'],kids-lunch-box,Available,https://shop.coles.com.au/a/national/product/beechworth--limited-edition-quirky--bee-honey,2021-04-23
3279367P,Schwarzkopf,Colour Specialist 5-1 Cool Light Brown,19.0,$19.00 per 1Ea,1 pack,,,['65480 HENKEL AUST P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/schwarzkopf-specialist-5-1-cool-light-brown,2021-04-23
2789448P,Coco Earth,Premium Liquid Coconut Oil,11.0,$2.20 per 100mL,500mL,13.0,Specials,"['972712 HEALTHIER TASTIER FOODS', '935193 PASCOES P/L (PRIVATE LABEL)']",pantry,Available,https://shop.coles.com.au/a/national/product/cocoearth-premium-liquid-coconut-oil,2021-04-23
3830296P,Coles,Sweet Symphony Platter,35.0,$35.00 per 1Ea,1 each,,,['656186 COLES SUPERMARKETS (EXP)'],from-deli,Available,https://shop.coles.com.au/a/national/product/coles-platter-swet-symphony,2021-04-23
3653430P,Leggo's,Organic Tomato Paste Jar,4.85,$0.97 per 100G,500g,,,['14729 SIMPLOT AUST P/L'],pantry,Available,https://shop.coles.com.au/a/national/product/leggos-organic-tomato-paste-jar,2021-04-23
3506196P,Coles,Nature's Kitchen Vegetable Spring Rolls,6.0,$2.78 per 100G,216g,,,['971562 TRANGSFOOD PTY LTD (COLES BRAND)'],frozen,Available,https://shop.coles.com.au/a/national/product/coles-gluten-free-vegan-spring-rolls,2021-04-23
3445740P,Scentilla,Pear & Verbena Soy Blend Double Wicked Candle,13.0,$5.00 per 100G,260g,,,"['975704 SAPPHIRE GROUP (COLES BRAND)', '555555 NLE DUMMY SUPPLIER FOR TESTING']",household,Available,https://shop.coles.com.au/a/national/product/scentilla-soy-candle-pear-verbena,2021-04-23
3593190P,Coles,Vietnamese Mint Punnet,3.0,$3.00 per 15G,15g,,Specials,"['939301 FRESH PRODUCE DC (WA)', ""635235 COSTA'S P/L (VIC DC)"", '939312 FRESH PRODUCE DC (NSW)', '414760 ST GEORGE PROD PTY LTD', '942633 CARTER & SPENCER NORTH QLD', '97446 CARTER & SPENCER GROUP P/L', '933347 COSTAS (TASMANIA)']",fruit-vegetables,Available,https://shop.coles.com.au/a/national/product/cs-vietnamese-mint-punnet,2021-04-23
3566030P,Coles,I'M Free From Shortbread Creams,3.5,$2.43 per 100G,144g,,,['967836 NOT A TRACE (HOUSEBRAND)'],entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/coles-im-free-from-shortbread-cream,2021-04-23
304752P,Twinings,English Breakfast Tea Bags 100 pack,5.6,$0.06 per 1Ea,200g,11.2,Specials,['941157 TWININGS & CO'],drinks,Available,https://shop.coles.com.au/a/national/product/twinings-tea-bags-classics-english-breakfast,2021-04-23
3229686P,Auricchio,Grana Padano Basile Imports,12.0,$48.00 per 1Kg,approx. 250g,,,['974348 BASILE IMPORTS-RANDOM WEIGHT'],entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/basile-imports-grana-padano,2021-04-23
2805384P,British Sausage Co,Unsmoked Back Bacon,7.0,$35.00 per 1Kg,200g,,,"['656186 COLES SUPERMARKETS (EXP)', '973128 THE BRITISH HAM AND BACON CO P/L']",dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/british-sausage-co-back-bacon-unsmoked,2021-04-23
6701132P,TLY Joyce,Silken Firm Tofu,3.2,$1.07 per 100G,300g,,,"['636282 CHOBANI PTY LTD', '761834 ACCESS SALES (AUST) P/L', '938723 J & B SALES & MARKETING', '728292 NUTRISOY P/L', '739936 SIENA FOODS P/L', '920583 TLY AUST P/L', '968140 TLY AUSTRALIA P/L']",dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/tly-joyce-tofu-silken-firm,2021-04-23
3394718P,OB Finest,Entertaining Pack,10.5,$3.39 per 100G,310g,,,['971433 FINE FOOD HOLDINGS'],pantry,Available,https://shop.coles.com.au/a/national/product/ob-biscuit-entertaining-pack,2021-04-23
3026124P,Heinz,Beanz BBQ Sauce,2.5,$0.45 per 100G,555g,3.0,Specials,['22161 HJ HEINZ CO AUST LTD'],pantry,Available,https://shop.coles.com.au/a/national/product/heinz-beanz-bbq-sauce,2021-04-23
8477798P,Nivea,Men Protect & Care Moisturising Shaving Foam + Aloe Vera,2.9,$1.45 per 100mL,200mL,5.8,Specials,['936507 BEIERSDORF AUST LTD'],health-beauty,Available,https://shop.coles.com.au/a/national/product/nivea-for-men-shaving-foam,2021-04-23
5543535P,Coles,Blueberries Prepacked,7.5,$60.00 per 1Kg,125g,,,"['933347 COSTAS (TASMANIA)', '974387 BERRYCO NZ', ""635235 COSTA'S P/L (VIC DC)"", '97446 CARTER & SPENCER GROUP P/L', '939312 FRESH PRODUCE DC (NSW)', '414760 ST GEORGE PROD PTY LTD', '942633 CARTER & SPENCER NORTH QLD', '939301 FRESH PRODUCE DC (WA)']",mothers-day,Available,https://shop.coles.com.au/a/national/product/blueberries-prepacked,2021-04-23
3753184P,Nature's Way,Vita Gummies Sugar Free Vitamin C Sugar Free Tablets,20.0,,65 PACK,,,['PHARM-A-CARE LABORATORIES P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/nature-s-way-adult-vita-gummies-sugar-fre-vit-c,2021-04-23
8760846P,Coles,Green Cayenne Chillies Loose,1.2,$24.00 per 1Kg,approx. 50g,,,"['414760 ST GEORGE PROD PTY LTD', '933347 COSTAS (TASMANIA)', '939312 FRESH PRODUCE DC (NSW)', '97446 CARTER & SPENCER GROUP P/L', ""635235 COSTA'S P/L (VIC DC)"", '942633 CARTER & SPENCER NORTH QLD', '939301 FRESH PRODUCE DC (WA)']",fruit-vegetables,Available,https://shop.coles.com.au/a/national/product/chillies-green,2021-04-23
2504821P,Alicos,Organic Sicilian Cherry Tomato Puree Passata,5.0,$0.76 per 100G,660g,,,['389692 CLASSICA INTL'],international-foods,Available,https://shop.coles.com.au/a/national/product/alicos--organic-cherry-tomato-puree-pasata,2021-04-23
3817618P,Royal Fields,Corn Flour,4.8,$4.80 per 1Kg,1kg,,,"['974640 BASFOODS AUSTRALIA PTY LTD (FIW)', '980252 BASFOODS INTERNATIONAL PTY LTD']",pantry,Available,https://shop.coles.com.au/a/national/product/royal-fields-corn-flour,2021-04-23
3653077P,Leiber's,Mr Chip Premium Cookie,7.5,$2.42 per 100G,310g,,,['973087 BENEDIKT IMPORTS CROSS DOCK'],international-foods,Available,https://shop.coles.com.au/a/national/product/leibers-mr-chip-premium-cookie,2021-04-23
4263067P,Fussy Cat,Cat Food Pouch Bites & Fish Gravy 80g,12.5,$1.30 per 100G,12 pack,,,['959649 AUSTRALIAN PET BRANDS P/L WET (P'],pet,Available,https://shop.coles.com.au/a/national/product/cat-fd-pch-bts-fsh-grvy,2021-04-23
3872853P,Crave,Real Turkey Cuts In Gravy Cat Food,2.2,$2.93 per 100G,75g,,,['47392 MARS PETCARE AUSTRALIA'],pet,Available,https://shop.coles.com.au/a/national/product/crave-cuts-in-gravy-cat-fod-wth-real-turkey,2021-04-23
1384327P,Jinmailang,Long XU Noodle,2.5,$2.50 per 1Kg,1kg,,,"['641316 ORIENTAL MERCHANT P/L', '971471 ORIENTAL MERCHANT P/L (CROSS DOC']",international-foods,Available,https://shop.coles.com.au/a/national/product/jinmailing-noodle-long,2021-04-23
3771743P,Starbucks,Latte Premium Instant Mixes,2.95,$0.59 per 1Ea,5 pack,5.9,Specials,['621994 NESTLE AUST LTD'],drinks,Available,https://shop.coles.com.au/a/national/product/starbucks-latte-premium-instant-mixes,2021-04-23
6993720P,Beerenberg,Australian Strawberry Jam,5.0,$1.67 per 100G,300g,,,['377074 BEERENBERG P/L'],pantry,Available,https://shop.coles.com.au/a/national/product/beerenberg-jam-strawberry,2021-04-23
3315981P,Vanish,Stain Remover Fabric Powder,30.0,$11.11 per 1Kg,2.7kg,,,"['672882 RECKITT BENCKISER (AUST) P/L', '975782 RB (HYGIENE HOME) AUSTRALIA PTY']",household,Available,https://shop.coles.com.au/a/national/product/vanish-napisan-gold-pro-oxiaction-crystal-white,2021-04-23
7185480P,Pirro,Macherroni Al Ferretto Pasta,4.95,$0.99 per 100G,500g,,,"[""234966 LEO'S IMPORT AND DISTRIBUTORS P/"", ""648809 LEO'S IMPORT AND DISTRIBUTORS (N""]",international-foods,Available,https://shop.coles.com.au/a/national/product/pirro-pasta-macherroni-al-ferretto,2021-04-23
3595753P,Babylove,Unisex Cosifit Crawler Nappy 6-11 Kg Size 3,14.0,$0.35 per 1Ea,40 pack,,,['386332 UNICHARM AUSTRALASIA'],baby,Available,https://shop.coles.com.au/a/national/product/babylove-cosifit-bulk-nappies-crawler,2021-04-23
1574173P,Peckish,Tangy BBQ Rice Crackers,2.2,$2.20 per 100G,100g,,,"['976959 MENORA FOODS', '64122 MENORA FOODS P/L']",pantry,Available,https://shop.coles.com.au/a/national/product/peckish-rice-crackers-tangy-bbq,2021-04-23
3514490P,Lavazza,Expresso Intensita 10 Ground Coffee 16 Capsules,11.0,$0.69 per 1Ea,16 pack,,,['971780 LAVAZZA AUSTRALIA PTY LTD'],pantry,Available,https://shop.coles.com.au/a/national/product/lavazza-a-modo-mio-qualita-rossa-capsules,2021-04-23
2268810P,Lavazza,Espresso Intenso Intensita 13 Ground Coffee 16 Capsules,11.0,$9.17 per 100G,120g,,,"['730475 VALCORP FINE FOODS P/L', '971780 LAVAZZA AUSTRALIA PTY LTD']",drinks,Available,https://shop.coles.com.au/a/national/product/lavazza-amm-coffee-capsules-intensamente,2021-04-23
3513464P,St Remio,Coffee Expressi/Caffitaly Supreme Capsules,3.75,$0.38 per 1Ea,10 Pack,,,['974857 ONE COLLECTIVE GROUP'],drinks,Available,https://shop.coles.com.au/a/national/product/st-remio-k-fee-caffitaly-capsules-supreme,2021-04-23
3984722P,Queen Victoria,Green Tea,6.0,$0.12 per 1Ea,50 pack,,,"['51837 VITTORIA FOOD & BEVERAGE', '969732 VITTORIA FOOD AND BEVERAGE']",drinks,Available,https://shop.coles.com.au/a/national/product/gren-3984722p-1,2021-04-23
9599848P,Mount Franklin,Pure Spring Water 1L,8.05,$1.34 per 1L,6 pack,,,"['931858 COCA COLA AMATIL AUST P/L (DIREC', '931859 COCA COLA AMATIL AUST P/L (GHPL)']",kids-lunch-box,Available,https://shop.coles.com.au/a/national/product/mount-franklin-water-1l-bottles,2021-04-23
3661246P,Kleenex,Everyday 2 Ply Kids Facial Tissues,2.0,$1.00 per 100Ea,200 pack,2.2,Specials,['965991 KIMBERLY- CLARK AUST P/L (FAMILY'],household,Available,https://shop.coles.com.au/a/national/product/kleenex-facial-tissue-everyday-kids-2-ply,2021-04-23
5986988P,Lifesavers,Fruit Tingles 4 pack,3.55,$2.61 per 100G,136g,,,"['967482 DARRELL LEA CONFECTIONERY CO P/L', '620521 NESTLE CON']",pantry,Available,https://shop.coles.com.au/a/national/product/lifesavers-fruit-tingles-4-pack,2021-04-23
3747385P,Coles Bakery,Stone Baked By Laurent Turkish Loaf,3.5,$3.50 per 1Ea,1 each,,,['656186 COLES SUPERMARKETS (EXP)'],mothers-day,Available,https://shop.coles.com.au/a/national/product/coles-continental-by-laurent-turkish-loaf,2021-04-23
